,Date,HDD,% Estimated
0,12/1/15,6.5,0
1,12/2/15,13.4,0
2,12/3/15,20.2,0
3,12/4/15,18.6,0
4,12/5/15,14.9,0
5,12/6/15,10.2,2
6,12/7/15,10.7,0
7,12/8/15,9.5,0
8,12/9/15,4.3,0
9,12/10/15,5.8,0
10,12/11/15,0.3,0
11,12/12/15,0.0,0
12,12/13/15,0.0,0
13,12/14/15,4.3,0
14,12/15/15,8.2,0
15,12/16/15,4.9,0
16,12/17/15,18.2,0
17,12/18/15,23.5,0
18,12/19/15,20.1,0
19,12/20/15,14.6,0
20,12/21/15,3.0,0
21,12/22/15,0.4,0
22,12/23/15,0.0,0
23,12/24/15,2.4,0
24,12/25/15,3.8,0
25,12/26/15,0.6,0
26,12/27/15,2.8,0
27,12/28/15,3.1,0
28,12/29/15,13.3,0
29,12/30/15,14.5,0
30,12/31/15,21.5,0
31,1/1/16,22.2,0
32,1/2/16,21.1,1
33,1/3/16,20.0,1
34,1/4/16,26.1,2
35,1/5/16,26.2,1
36,1/6/16,23.5,0
37,1/7/16,15.8,0
38,1/8/16,5.5,0
39,1/9/16,7.9,0
40,1/10/16,34.9,0
41,1/11/16,29.8,0
42,1/12/16,22.9,0
43,1/13/16,26.9,0
44,1/14/16,8.8,0
45,1/15/16,10.9,0
46,1/16/16,22.6,0
47,1/17/16,29.5,0
48,1/18/16,42.1,0
49,1/19/16,38.1,0
50,1/20/16,29.5,0
51,1/21/16,27.8,0
52,1/22/16,29.3,0
53,1/23/16,32.2,0
54,1/24/16,30.8,0
55,1/25/16,13.0,0
56,1/26/16,18.4,0
57,1/27/16,25.6,0
58,1/28/16,18.7,0
59,1/29/16,18.5,0
60,1/30/16,6.5,0
61,1/31/16,0.0,0
62,2/1/16,7.5,0
63,2/2/16,4.0,0
64,2/3/16,9.4,0
65,2/4/16,22.9,0
66,2/5/16,20.3,0
67,2/6/16,16.7,0
68,2/7/16,13.1,0
69,2/8/16,22.1,0
70,2/9/16,34.4,0
71,2/10/16,35.9,0
72,2/11/16,27.2,0
73,2/12/16,25.4,0
74,2/13/16,33.8,0
75,2/14/16,29.9,0
76,2/15/16,22.3,0
77,2/16/16,21.0,0
78,2/17/16,21.3,0
79,2/18/16,12.3,0
80,2/19/16,1.1,0
81,2/20/16,0.1,0
82,2/21/16,0.7,0
