Date,HDD,% Estimated
12/1/15,6.5,0
12/2/15,13.4,0
12/3/15,20.2,0
12/4/15,18.6,0
12/5/15,14.9,0
12/6/15,10.2,2
12/7/15,10.7,0
12/8/15,9.5,0
12/9/15,4.3,0
12/10/15,5.8,0
12/11/15,0.3,0
12/12/15,0,0
12/13/15,0,0
12/14/15,4.3,0
12/15/15,8.2,0
12/16/15,4.9,0
12/17/15,18.2,0
12/18/15,23.5,0
12/19/15,20.1,0
12/20/15,14.6,0
12/21/15,3,0
12/22/15,0.4,0
12/23/15,0,0
12/24/15,2.4,0
12/25/15,3.8,0
12/26/15,0.6,0
12/27/15,2.8,0
12/28/15,3.1,0
12/29/15,13.3,0
12/30/15,14.5,0
12/31/15,21.5,0
1/1/16,22.2,0
1/2/16,21.1,1
1/3/16,20,1
1/4/16,26.1,2
1/5/16,26.2,1
1/6/16,23.5,0
1/7/16,15.8,0
1/8/16,5.5,0
1/9/16,7.9,0
1/10/16,34.9,0
1/11/16,29.8,0
1/12/16,22.9,0
1/13/16,26.9,0
1/14/16,8.8,0
1/15/16,10.9,0
1/16/16,22.6,0
1/17/16,29.5,0
1/18/16,42.1,0
1/19/16,38.1,0
1/20/16,29.5,0
1/21/16,27.8,0
1/22/16,29.3,0
1/23/16,32.2,0
1/24/16,30.8,0
1/25/16,13,0
1/26/16,18.4,0
1/27/16,25.6,0
1/28/16,18.7,0
1/29/16,18.5,0
1/30/16,6.5,0
1/31/16,0,0
2/1/16,7.5,0
2/2/16,4,0
2/3/16,9.4,0
2/4/16,22.9,0
2/5/16,20.3,0
2/6/16,16.7,0
2/7/16,13.1,0
2/8/16,22.1,0
2/9/16,34.4,0
2/10/16,35.9,0
2/11/16,27.2,0
2/12/16,25.4,0
2/13/16,33.8,0
2/14/16,29.9,0
2/15/16,22.3,0
2/16/16,21,0
2/17/16,21.3,0
2/18/16,12.3,0
2/19/16,1.1,0
2/20/16,0.1,0
2/21/16,0.7,0
